entry,expiry,year,spot_entry,vix9d,vix3m,contango,short_strike,long_strike,credit,payout,pnl,win,contango_threshold,traded,pnl_unfiltered,pnl_filtered,cum_pnl_unfiltered,cum_pnl_filtered,spy_indexed,cash_indexed
2016-01-08,2016-01-15,2016,191.923,0.2798,0.2623,0.9374553252323088,185,180.0,0.4097728859270333,0.0,0.4097728859270333,True,,True,0.4097728859270333,0.4097728859270333,0.4097728859270333,0.4097728859270333,100.0,100.0
2016-01-15,2016-01-22,2016,187.81,0.29600000000000004,0.2688,0.9081081081081079,180,175.0,0.3340703848119775,0.0,0.3340703848119775,True,,True,0.3340703848119775,0.3340703848119775,0.7438432707390108,0.7438432707390108,97.85695304887898,100.05686000964286
2016-01-22,2016-01-29,2016,190.52,0.2259,0.24280000000000002,1.0748118636564854,180,175.0,0.05713919317402766,0.0,0.05713919317402766,True,,True,0.05713919317402766,0.05713919317402766,0.8009824639130385,0.8009824639130385,99.2689776629169,100.11375234989272
2016-01-29,2016-02-05,2016,193.7208,0.1937,0.2266,1.1698502839442435,185,180.0,0.07712041525893187,0.0,0.07712041525893187,True,,True,0.07712041525893187,0.07712041525893187,0.8781028791719704,0.8781028791719704,100.93672983436065,100.17067703913271
2016-02-05,2016-02-12,2016,187.95,0.2296,0.24480000000000002,1.0662020905923346,180,175.0,0.17239287996891695,0.0,0.17239287996891695,True,,True,0.17239287996891695,0.17239287996891695,1.0504957591408872,1.0504957591408872,97.92989896989938,100.2276340957565
2016-02-12,2016-02-19,2016,186.63,0.2271,0.2623,1.1549977983267283,180,175.0,0.26923103055609854,0.0,0.26923103055609854,True,,True,0.26923103055609854,0.26923103055609854,1.3197267896969858,1.3197267896969858,97.24212314313553,100.28462353816816
2016-02-19,2016-02-26,2016,192.0,0.1822,0.228,1.251372118551043,185,180.0,0.13524884180837993,0.0,0.13524884180837993,True,,True,0.13524884180837993,0.13524884180837993,1.4549756315053657,1.4549756315053657,100.04012025656122,100.3416453847823
2016-02-26,2016-03-04,2016,195.0892,0.1856,0.2186,1.177801724137931,185,180.0,0.03166548612165185,0.0,0.03166548612165185,True,,True,0.03166548612165185,0.03166548612165185,1.4866411176270176,1.4866411176270176,101.64972410810586,100.3986996540239
2016-03-04,2016-03-11,2016,200.43,0.1586,0.1963,1.237704918032787,190,185.0,0.011891917421386233,0.0,0.011891917421386233,True,,True,0.011891917421386233,0.011891917421386233,1.4985330350484038,1.4985330350484038,104.43250678657587,100.4557863643285
2016-03-11,2016-03-18,2016,202.76,0.152,0.19469999999999998,1.2809210526315788,195,190.0,0.0564770960881929,0.0,0.0564770960881929,True,,True,0.0564770960881929,0.0564770960881929,1.5550101311365967,1.5550101311365967,105.64653532927268,100.51290553414208
2016-03-18,2016-03-24,2016,204.38,0.1247,0.1793,1.4378508420208498,195,190.0,0.0025133074511872423,0.0,0.0025133074511872423,True,,True,0.0025133074511872423,0.0025133074511872423,1.5575234385877839,1.5575234385877839,106.49062384393741,100.57005718192111
2016-04-01,2016-04-08,2016,206.92,0.1092,0.165,1.510989010989011,200,195.0,0.019227876280691232,0.0,0.019227876280691232,True,,True,0.019227876280691232,0.019227876280691232,1.576751314868475,1.576751314868475,107.81407126816484,100.6272413261326
2016-04-08,2016-04-15,2016,204.4992,0.1359,0.1832,1.3480500367917587,195,190.0,0.00932727722531292,0.0,0.00932727722531292,True,,True,0.00932727722531292,0.00932727722531292,1.586078592093788,1.586078592093788,106.55273208526337,100.684457985254
2016-04-15,2016-04-22,2016,207.78,0.122,0.1716,1.4065573770491804,200,195.0,0.019588477001300897,0.0,0.019588477001300897,True,,True,0.019588477001300897,0.019588477001300897,1.605667069095089,1.605667069095089,108.26216764014735,100.74170717777329
2016-04-22,2016-04-29,2016,208.97,0.1193,0.1664,1.3948030176026822,200,195.0,0.00648109605585606,0.0,0.00648109605585606,True,,True,0.00648109605585606,0.00648109605585606,1.612148165150945,1.612148165150945,108.88220796882082,100.79898892218897
2016-04-29,2016-05-06,2016,206.3308,0.1479,0.1845,1.2474645030425964,200,195.0,0.12208537457553881,0.0,0.12208537457553881,True,,True,0.12208537457553881,0.12208537457553881,1.7342335397264839,1.7342335397264839,107.50707314912752,100.85630323701005
2016-05-06,2016-05-13,2016,205.72,0.1338,0.1827,1.3654708520179373,195,190.0,0.0031361674175736987,0.0,0.0031361674175736987,True,,True,0.0031361674175736987,0.0031361674175736987,1.7373697071440575,1.7373697071440575,107.18882051656132,100.91365014075606
2016-05-13,2016-05-20,2016,204.76,0.14150000000000001,0.1825,1.2897526501766783,195,190.0,0.01033401872529362,0.0,0.01033401872529362,True,,True,0.01033401872529362,0.01033401872529362,1.747703725869351,1.747703725869351,106.68861991527852,100.97102965195708
2016-05-20,2016-05-27,2016,205.49,0.1273,0.1805,1.4179104477611941,195,190.0,0.0024124455263729305,0.0,0.0024124455263729305,True,,True,0.0024124455263729305,0.0024124455263729305,1.750116171395724,1.750116171395724,107.06898078917065,101.02844178915369
2016-05-27,2016-06-03,2016,210.24,0.0977,0.1631,1.669396110542477,200,195.0,0.00021762728784104288,0.0,0.00021762728784104288,True,,True,0.00021762728784104288,0.00021762728784104288,1.7503337986835652,1.7503337986835652,109.54393168093453,101.08588657089706
2016-06-03,2016-06-10,2016,210.28,0.1011,0.1649,1.6310583580613254,200,195.0,0.00032288224684494805,0.0,0.00032288224684494805,True,,True,0.00032288224684494805,0.00032288224684494805,1.75065668093041,1.75065668093041,109.56477337265466,101.14336401574884
2016-06-10,2016-06-17,2016,210.07,0.1583,0.1894,1.1964624131396084,200,195.0,0.021429262059397394,0.0,0.021429262059397394,True,,True,0.021429262059397394,0.021429262059397394,1.7720859429898075,1.7720859429898075,109.45535449112404,101.20087414228132
2016-06-17,2016-06-24,2016,206.52,0.22,0.21309999999999998,0.9686363636363635,200,195.0,0.3488813589783595,0.0,0.3488813589783595,True,,True,0.3488813589783595,0.3488813589783595,2.120967301968167,2.120967301968167,107.60565435096366,101.25841696907729
2016-06-24,2016-07-01,2016,203.2425,0.3071,0.23929999999999998,0.7792250081406707,195,190.0,0.3945511776184434,0.0,0.3945511776184434,True,,True,0.3945511776184434,0.3945511776184434,2.5155184795866106,2.5155184795866106,105.89793823564659,101.31599251473014
2016-07-01,2016-07-08,2016,209.9208,0.1185,0.1765,1.489451476793249,200,195.0,0.0026539617907402305,0.0,0.0026539617907402305,True,,True,0.0026539617907402305,0.0026539617907402305,2.518172441377351,2.518172441377351,109.37761498100802,101.37360079784379
2016-07-08,2016-07-15,2016,212.65,0.1143,0.1649,1.442694663167104,205,200.0,0.016919058867466075,0.0,0.016919058867466075,True,,True,0.016919058867466075,0.016919058867466075,2.535091500244817,2.535091500244817,110.79964360707159,101.43124183703279
2016-07-15,2016-07-22,2016,215.83,0.1026,0.15990000000000001,1.5584795321637428,205,200.0,0.00028349982385940896,0.0,0.00028349982385940896,True,,True,0.00028349982385940896,0.00028349982385940896,2.5353750000686763,2.5353750000686763,112.45655809882088,101.4889156509222
2016-07-22,2016-07-29,2016,217.24,0.10220000000000001,0.158,1.5459882583170252,210,205.0,0.013352758016124662,0.0,0.013352758016124662,True,,True,0.013352758016124662,0.013352758016124662,2.548727758084801,2.548727758084801,113.191227731955,101.54662225814776
2016-07-29,2016-08-05,2016,217.12,0.1001,0.1542,1.5404595404595405,210,205.0,0.012861732488614263,0.0,0.012861732488614263,True,,True,0.012861732488614263,0.012861732488614263,2.5615894905734153,2.5615894905734153,113.12870265679464,101.60436167735575
2016-08-05,2016-08-12,2016,218.18,0.09179999999999999,0.1514,1.6492374727668848,210,205.0,0.002216855897154043,0.0,0.002216855897154043,True,,True,0.002216855897154043,0.002216855897154043,2.5638063464705696,2.5638063464705696,113.68100748737776,101.66213392720309
2016-08-12,2016-08-19,2016,218.46,0.09539999999999998,0.15259999999999999,1.59958071278826,210,205.0,0.002362304071272403,0.0,0.002362304071272403,True,,True,0.002362304071272403,0.002362304071272403,2.566168650541842,2.566168650541842,113.82689932941857,101.71993902635722
2016-08-19,2016-08-26,2016,218.54,0.094,0.15130000000000002,1.6095744680851065,210,205.0,0.0018775645569538547,0.0,0.0018775645569538547,True,,True,0.0018775645569538547,0.0018775645569538547,2.568046215098796,2.568046215098796,113.8685827128588,101.77777699349635
2016-08-26,2016-09-02,2016,217.29,0.121,0.1624,1.3421487603305784,210,205.0,0.03599049305825913,0.0,0.03599049305825913,True,,True,0.03599049305825913,0.03599049305825913,2.604036708157055,2.604036708157055,113.21727984660515,101.83564784730916
2016-09-02,2016-09-09,2016,218.37,0.091,0.1565,1.7197802197802199,210,205.0,0.0016432831368994828,0.0,0.0016432831368994828,True,,True,0.0016432831368994828,0.0016432831368994828,2.6056799912939543,2.6056799912939543,113.7800055230483,101.89355160649502
2016-09-09,2016-09-16,2016,213.28,0.18780000000000002,0.1883,1.0026624068157612,205,200.0,0.13152802414053744,0.0,0.13152802414053744,True,,True,0.13152802414053744,0.13152802414053744,2.7372080154344918,2.7372080154344918,111.12790025166343,101.95148828976394
2016-09-16,2016-09-23,2016,213.36,0.1527,0.1788,1.1709233791748526,205,200.0,0.05408107246141208,0.0,0.05408107246141208,True,,True,0.05408107246141208,0.05408107246141208,2.791289087895904,2.791289087895904,111.16958363510366,102.00945791583655
2016-09-23,2016-09-30,2016,216.02,0.1139,0.1605,1.4091308165057068,205,200.0,0.0008124778919561143,0.0,0.0008124778919561143,True,,True,0.0008124778919561143,0.0008124778919561143,2.79210156578786,2.79210156578786,112.55555613449144,102.06746050344415
2016-09-30,2016-10-07,2016,216.35,0.12369999999999999,0.1637,1.3233629749393696,205,200.0,0.0014444410845251814,0.0,0.0014444410845251814,True,,True,0.0014444410845251814,0.0014444410845251814,2.793546006872385,2.793546006872385,112.7275000911824,102.12549607132864
2016-10-07,2016-10-14,2016,215.03,0.11470000000000001,0.16440000000000002,1.4333042720139495,205,200.0,0.002266364767474302,0.0,0.002266364767474302,True,,True,0.002266364767474302,0.002266364767474302,2.795812371639859,2.795812371639859,112.03972426441854,102.18356463824263
2016-10-14,2016-10-21,2016,213.06,0.1294,0.17420000000000002,1.3462132921174654,205,200.0,0.02695382795231714,0.0,0.02695382795231714,True,,True,0.02695382795231714,0.02695382795231714,2.8227661995921762,2.8227661995921762,111.01327094720278,102.24166622294936
2016-10-21,2016-10-28,2016,213.89,0.10679999999999999,0.1604,1.5018726591760299,205,200.0,0.003425586422254656,0.0,0.003425586422254656,True,,True,0.003425586422254656,0.003425586422254656,2.826191786014431,2.826191786014431,111.44573605039521,102.29980084422277
2016-10-28,2016-11-04,2016,212.5,0.16690000000000002,0.17370000000000002,1.0407429598562012,205,200.0,0.1202324406867723,0.0,0.1202324406867723,True,,True,0.1202324406867723,0.1202324406867723,2.946424226701203,2.946424226701203,110.72148726312115,102.35796852084744
2016-11-04,2016-11-11,2016,208.56,0.2882,0.2113,0.7331714087439277,200,195.0,0.34665549206649526,0.0,0.34665549206649526,True,,True,0.34665549206649526,0.34665549206649526,3.2930797187676983,3.2930797187676983,108.66858062868963,102.41616927161866
2016-11-11,2016-11-18,2016,216.45,0.1284,0.1649,1.2842679127725858,205,200.0,0.0019270666567305743,0.0,0.0019270666567305743,True,,True,0.0019270666567305743,0.0019270666567305743,3.295006785424429,3.295006785424429,112.77960432048269,102.47440311534235
2016-11-18,2016-11-25,2016,218.48,0.0863,0.1552,1.79837775202781,210,205.0,0.0008211369577084491,0.0,0.0008211369577084491,True,,True,0.0008211369577084491,0.0008211369577084491,3.2958279223821374,3.2958279223821374,113.83732017527862,102.53267007083522
2016-11-25,2016-12-02,2016,221.52,0.1043,0.1551,1.4870565675934801,210,205.0,0.00022174726628540692,0.0,0.00022174726628540692,True,,True,0.00022174726628540692,0.00022174726628540692,3.296049669648423,3.296049669648423,115.42128874600752,102.5909701569246
2016-12-02,2016-12-09,2016,219.6108,0.1364,0.1678,1.2302052785923754,210,205.0,0.01563502031139171,0.0,0.01563502031139171,True,,True,0.01563502031139171,0.01563502031139171,3.3116846899598147,3.3116846899598147,114.42651480020633,102.64930339244853
2016-12-09,2016-12-16,2016,226.53,0.111,0.1522,1.3711711711711712,215,210.0,0.0006514009496602749,0.0,0.0006514009496602749,True,,True,0.0006514009496602749,0.0006514009496602749,3.312336090909475,3.312336090909475,118.03171063395216,102.70766979625583
2016-12-16,2016-12-23,2016,225.05,0.1067,0.1557,1.4592314901593253,215,210.0,0.0018017170702531653,0.0,0.0018017170702531653,True,,True,0.0018017170702531653,0.0018017170702531653,3.314137807979728,3.314137807979728,117.26056804030783,102.76606938720593
2016-12-23,2016-12-30,2016,225.7,0.0898,0.1525,1.698218262806236,215,210.0,0.00010627118174849131,0.0,0.00010627118174849131,True,,True,0.00010627118174849131,0.00010627118174849131,3.3142440791614765,3.3142440791614765,117.59924553075973,102.82450218416912
2016-12-30,2017-01-06,2016,223.52,0.1268,0.1654,1.3044164037854888,215,210.0,0.0239069167134649,0.0,0.0239069167134649,True,,True,0.0239069167134649,0.0239069167134649,3.3381509958749414,3.3381509958749414,116.46337333201336,102.88296820602628
2017-01-06,2017-01-13,2017,227.25,0.0919,0.1456,1.5843307943416758,220,215.0,0.00878283898286554,0.0,0.00878283898286554,True,,True,0.00878283898286554,0.00878283898286554,3.346933834857807,3.346933834857807,118.40686108491425,102.9414674716691
2017-01-13,2017-01-20,2017,227.04,0.08990000000000001,0.1454,1.6173526140155727,220,215.0,0.009107915685267528,0.0,0.009107915685267528,True,,True,0.009107915685267528,0.009107915685267528,3.356041750543074,3.356041750543074,118.29744220338365,103.0
2017-01-20,2017-01-27,2017,226.74,0.09720000000000001,0.1449,1.4907407407407407,215,210.0,8.95586606643383e-05,0.0,8.95586606643383e-05,True,,True,8.95586606643383e-05,8.95586606643383e-05,3.3561313092037386,3.3561313092037386,118.14112951548277,103.05856580993216
2017-01-27,2017-02-03,2017,228.99,0.09359999999999999,0.1368,1.4615384615384617,220,215.0,0.0018006710354124024,0.0,0.0018006710354124024,True,,True,0.0018006710354124024,0.0018006710354124024,3.357931980239151,3.357931980239151,119.31347467473935,103.1171649203895
2017-02-03,2017-02-10,2017,229.35,0.0919,0.1405,1.5288356909684442,220,215.0,0.001004887124447682,0.0,0.001004887124447682,True,,True,0.001004887124447682,0.001004887124447682,3.3589368673635986,3.3589368673635986,119.5010499002204,103.17579735030668
2017-02-10,2017-02-17,2017,231.49,0.0902,0.1391,1.5421286031042127,220,215.0,5.702504186333438e-05,0.0,5.702504186333438e-05,True,,True,5.702504186333438e-05,5.702504186333438e-05,3.358993892405462,3.358993892405462,120.61608040724666,103.23446311862918
2017-02-17,2017-02-24,2017,235.04,0.09029999999999999,0.13720000000000002,1.5193798449612406,225,220.0,0.000489679496265572,0.0,0.000489679496265572,True,,True,0.000489679496265572,0.000489679496265572,3.3594835719017273,3.3594835719017273,122.46578054740704,103.29316224431322
2017-02-24,2017-03-03,2017,236.77,0.0941,0.1476,1.5685441020191286,225,220.0,0.00010811143287822928,0.0,0.00010811143287822928,True,,True,0.00010811143287822928,0.00010811143287822928,3.3595916833346053,3.3595916833346053,123.36718371430209,103.35189474632575
