label,auc_mean,auc_std,acc_mean,folds_above_half,symbol
A+D,0.536,0.026,0.54,5,AAPL
A,0.529,0.04,0.554,4,AAPL
A+B+D,0.525,0.031,0.543,4,AAPL
B,0.514,0.017,0.527,4,AAPL
B+D,0.524,0.056,0.535,3,AAPL
A+B,0.512,0.035,0.549,3,AAPL
A+C+D,0.501,0.043,0.517,3,AAPL
D,0.519,0.055,0.526,2,AAPL
B+C+D,0.491,0.08,0.493,2,AAPL
C+D,0.488,0.081,0.485,2,AAPL
C,0.476,0.064,0.496,2,AAPL
B+C,0.475,0.055,0.48,2,AAPL
A+C,0.494,0.045,0.514,1,AAPL
A+B+C+D,0.489,0.056,0.511,1,AAPL
A+B+C,0.482,0.053,0.499,1,AAPL
A+B+C,0.514,0.037,0.519,4,MSFT
A+B,0.502,0.055,0.543,4,MSFT
B,0.508,0.032,0.528,3,MSFT
C,0.504,0.032,0.5,3,MSFT
B+C,0.502,0.037,0.522,3,MSFT
A,0.496,0.052,0.54,3,MSFT
A+C,0.5,0.034,0.501,2,MSFT
A+C+D,0.498,0.033,0.493,2,MSFT
A+B+D,0.495,0.039,0.537,2,MSFT
A+B+C+D,0.489,0.034,0.494,2,MSFT
D,0.486,0.047,0.552,2,MSFT
B+D,0.486,0.031,0.543,2,MSFT
B+C+D,0.486,0.018,0.49,1,MSFT
A+D,0.481,0.028,0.536,1,MSFT
C+D,0.479,0.008,0.482,0,MSFT
C,0.518,0.019,0.509,4,JPM
C+D,0.515,0.042,0.501,3,JPM
B+C,0.504,0.031,0.476,3,JPM
A+B+C,0.503,0.03,0.482,3,JPM
A+C,0.5,0.026,0.485,3,JPM
A+B+C+D,0.5,0.037,0.471,2,JPM
B+C+D,0.498,0.051,0.484,2,JPM
A,0.493,0.028,0.504,2,JPM
B+D,0.474,0.066,0.494,2,JPM
A+B,0.469,0.054,0.507,2,JPM
B,0.465,0.056,0.501,2,JPM
A+C+D,0.489,0.013,0.483,1,JPM
A+D,0.483,0.021,0.508,1,JPM
A+B+D,0.472,0.045,0.503,1,JPM
D,0.469,0.027,0.529,1,JPM
B+D,0.502,0.084,0.49,4,KO
D,0.493,0.03,0.496,3,KO
B,0.486,0.082,0.474,3,KO
A+B,0.484,0.094,0.476,3,KO
B+C+D,0.474,0.065,0.479,3,KO
A+C,0.486,0.057,0.486,2,KO
A+B+D,0.483,0.094,0.487,2,KO
A,0.483,0.078,0.493,2,KO
C,0.483,0.043,0.454,2,KO
B+C,0.482,0.068,0.467,2,KO
A+C+D,0.481,0.07,0.488,2,KO
A+B+C,0.476,0.085,0.465,2,KO
A+B+C+D,0.471,0.089,0.485,2,KO
A+D,0.466,0.07,0.49,2,KO
C+D,0.477,0.015,0.462,0,KO
B+D,0.494,0.045,0.516,4,XOM
D,0.515,0.047,0.524,3,XOM
A+B+D,0.495,0.063,0.522,2,XOM
C+D,0.48,0.058,0.494,2,XOM
A+D,0.477,0.051,0.51,2,XOM
A+C+D,0.467,0.052,0.493,2,XOM
B,0.475,0.031,0.481,1,XOM
B+C+D,0.469,0.042,0.502,1,XOM
A+B+C+D,0.467,0.051,0.501,1,XOM
B+C,0.464,0.03,0.49,1,XOM
C,0.462,0.035,0.485,1,XOM
A,0.448,0.052,0.491,1,XOM
A+B+C,0.46,0.039,0.486,0,XOM
A+B,0.459,0.029,0.471,0,XOM
A+C,0.453,0.034,0.488,0,XOM
